n,a_zeta_W1,a_delta_W1,a_zeta_W2,a_delta_W2
389,2758.463047690397,2758.463047690397,2756.335651575198,2757.0586498819125
390,2758.060284613543,2758.060284613543,2755.2974817315685,2756.220287063372
391,2757.0164866412592,2757.0164866412592,2755.4402051470724,2756.695474414941
392,2756.2473046235655,2756.2473046235655,2755.99686061828,2757.7747830196536
393,2756.251316758788,2756.251316758788,2755.682339114244,2758.245882687891
394,2756.888946439666,2756.888946439666,2753.539280707445,2757.2243890119635
395,2757.569879032608,2757.569879032608,2749.6511072704016,2754.856199056441
396,2757.7138758030064,2757.7138758030064,2745.1946710467837,2752.3881741233868
397,2757.1392159992556,2757.1392159992556,2741.606112289544,2751.3937219344575
398,2756.147713923397,2756.147713923397,2739.363943932239,2752.609192715968
399,2755.334548596163,2755.334548596163,2737.3792902395335,2755.25264988907
400,2755.2527960243406,2755.2527960243406,2733.5859987275276,2757.3013792900033
